date,btc_google_trends
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,1
2011-06,3
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,0
2011-12,0
2012-01,1
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,1
2012-09,1
2012-10,0
2012-11,0
2012-12,1
2013-01,1
2013-02,1
2013-03,3
2013-04,8
2013-05,3
2013-06,2
2013-07,2
2013-08,2
2013-09,1
2013-10,3
2013-11,10
2013-12,13
2014-01,8
2014-02,10
2014-03,7
2014-04,4
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,2
2015-10,2
2015-11,3
2015-12,3
2016-01,3
2016-02,2
2016-03,2
2016-04,2
2016-05,3
2016-06,4
2016-07,3
2016-08,3
2016-09,2
2016-10,2
2016-11,3
2016-12,4
2017-01,5
2017-02,4
2017-03,5
2017-04,4
2017-05,12
2017-06,11
2017-07,9
2017-08,16
2017-09,15
2017-10,16
2017-11,40
2017-12,100
2018-01,49
2018-02,38
2018-03,20
2018-04,17
2018-05,13
2018-06,12
2018-07,11
2018-08,11
2018-09,9
2018-10,7
2018-11,11
2018-12,11
2019-01,7
2019-02,7
2019-03,6
2019-04,10
2019-05,14
2019-06,16
2019-07,15
2019-08,11
2019-09,9
2019-10,8
2019-11,8
2019-12,7
2020-01,9
2020-02,10
2020-03,13
2020-04,10
2020-05,14
2020-06,9
2020-07,10
2020-08,11
2020-09,8
2020-10,10
2020-11,17
2020-12,25
2021-01,52
2021-02,51
2021-03,35
2021-04,39
2021-05,46
2021-06,31
2021-07,23
2021-08,21
2021-09,21
2021-10,28
2021-11,26
2021-12,25
2022-01,29
2022-02,24
2022-03,20
2022-04,16
2022-05,24
2022-06,31
2022-07,21
2022-08,15
2022-09,15
2022-10,12
2022-11,18
2022-12,13
2023-01,13
2023-02,12
2023-03,15
2023-04,14
2023-05,12
