date,total_bitcoins
1/10/2009,625
1/15/2009,26375
1/19/2009,52125
1/24/2009,77875
1/28/2009,103625
2/1/2009,129475
2/5/2009,155225
2/9/2009,180975
2/13/2009,206775
2/17/2009,232525
2/22/2009,258275
2/26/2009,284025
3/3/2009,309775
3/8/2009,335875
3/13/2009,362075
3/17/2009,387975
3/22/2009,413897.9167
3/26/2009,439875
3/31/2009,465931.25
4/5/2009,494120.8333
4/10/2009,519975
4/14/2009,545875
4/18/2009,571825
4/23/2009,597725
4/28/2009,623975
5/2/2009,649975
5/6/2009,676827.0833
5/11/2009,703275
5/15/2009,729460.4167
5/20/2009,756225
5/26/2009,783191.6667
5/31/2009,809875
6/9/2009,836004.1667
6/15/2009,862143.75
6/22/2009,888347.9167
6/29/2009,915647.9167
7/5/2009,941770.8333
7/12/2009,968077.0833
7/21/2009,995275
8/4/2009,1021875
8/10/2009,1048893.75
8/25/2009,1075425
9/2/2009,1102518.75
9/10/2009,1128975
9/18/2009,1156075
9/25/2009,1182075
10/2/2009,1210137.5
10/11/2009,1237975
10/19/2009,1264125
10/25/2009,1290525
11/3/2009,1316325
11/11/2009,1342075
11/17/2009,1367825
11/23/2009,1393725
11/30/2009,1419475
12/7/2009,1445575
12/12/2009,1471325
12/16/2009,1497075
12/19/2009,1523025
12/22/2009,1548825
12/25/2009,1574675
12/28/2009,1601025
1/1/2010,1628139.583
1/5/2010,1656025
1/8/2010,1681825
1/11/2010,1707775
1/14/2010,1733725
1/18/2010,1759525
1/21/2010,1785425
1/25/2010,1811175
1/28/2010,1837175
1/30/2010,1863037.5
2/2/2010,1889025
2/4/2010,1915225
2/7/2010,1941275
2/9/2010,1967175
2/12/2010,1993125
2/15/2010,2019035.417
2/17/2010,2045156.25
2/20/2010,2071425
2/22/2010,2097275
2/25/2010,2123562.5
2/28/2010,2149625
3/3/2010,2175525
3/6/2010,2201525
3/9/2010,2227575
3/13/2010,2253375
3/17/2010,2279375
3/20/2010,2305468.75
3/23/2010,2331525
3/26/2010,2357375
3/29/2010,2383375
3/31/2010,2412425
4/3/2010,2438375
4/7/2010,2464375
4/9/2010,2490387.5
4/12/2010,2516608.333
4/14/2010,2542875
4/17/2010,2568925
4/19/2010,2595325
4/22/2010,2621825
4/25/2010,2647925
4/28/2010,2674018.75
5/1/2010,2700325
5/5/2010,2726725
5/8/2010,2752925
5/13/2010,2779225
5/17/2010,2805575
5/20/2010,2832097.917
5/23/2010,2858831.25
5/26/2010,2885041.667
5/28/2010,2911825
5/31/2010,2938125
6/4/2010,2964375
6/8/2010,2990810.417
6/11/2010,3017375
6/14/2010,3044139.583
6/17/2010,3070225
6/21/2010,3096645.833
6/24/2010,3123481.25
6/27/2010,3149972.917
6/30/2010,3176589.583
7/3/2010,3203275
7/6/2010,3229825
7/9/2010,3256070.833
7/12/2010,3282647.917
7/13/2010,3314235.417
7/13/2010,3342975
7/14/2010,3370127.083
7/15/2010,3398158.333
7/16/2010,3424872.917
7/19/2010,3451075
7/22/2010,3477475
7/25/2010,3503895.833
7/27/2010,3530325
7/30/2010,3556875
8/1/2010,3582825
8/4/2010,3608875
8/6/2010,3634975
8/9/2010,3661025
8/12/2010,3687162.5
8/14/2010,3713025
8/17/2010,3738925
8/20/2010,3764841.667
8/23/2010,3790675
8/25/2010,3816575
8/28/2010,3842875
8/31/2010,3868825
9/3/2010,3894775
9/6/2010,3920725
9/10/2010,3946875
9/13/2010,3972825
9/16/2010,3998625
9/18/2010,4024675
9/20/2010,4050625
9/23/2010,4076425
9/26/2010,4102275
9/28/2010,4128525
10/1/2010,4154404.167
10/5/2010,4180375
10/8/2010,4206270.833
10/12/2010,4232125
10/15/2010,4258175
10/17/2010,4284316.667
10/19/2010,4310522.917
10/21/2010,4336775
10/24/2010,4363125
10/26/2010,4389170.833
10/29/2010,4415225
10/31/2010,4441425
11/3/2010,4467325
11/6/2010,4493475
11/8/2010,4519475
11/10/2010,4545375
11/13/2010,4571325
11/15/2010,4597825
11/17/2010,4624064.583
11/20/2010,4650279.167
11/24/2010,4676475
11/27/2010,4702475
11/29/2010,4728625
12/2/2010,4754825
12/5/2010,4781025
12/7/2010,4807233.333
12/9/2010,4833275
12/12/2010,4859475
12/15/2010,4885925
12/18/2010,4912135.417
12/21/2010,4938475
12/25/2010,4964775
12/28/2010,4990689.583
12/31/2010,5016925
1/3/2011,5042975
1/7/2011,5068845.833
1/10/2011,5094775
1/13/2011,5121025
1/16/2011,5147025
1/19/2011,5173025
1/22/2011,5199375
1/25/2011,5225225
1/28/2011,5251225
1/31/2011,5277125
2/4/2011,5303277.083
2/6/2011,5329125
2/9/2011,5355125
2/12/2011,5380975
2/15/2011,5406845.833
2/17/2011,5432825
2/19/2011,5458775
2/22/2011,5484775
2/24/2011,5510775
2/26/2011,5536525
3/1/2011,5562375
3/4/2011,5588275
3/6/2011,5614125
3/9/2011,5640025
3/13/2011,5666025
3/17/2011,5691925
3/21/2011,5717925
3/24/2011,5743925
3/28/2011,5769925
3/31/2011,5795775
4/3/2011,5822239.583
4/6/2011,5849070.833
4/9/2011,5874925
4/12/2011,5900925
4/16/2011,5926825
4/19/2011,5952775
4/22/2011,5978525
4/25/2011,6004375
4/28/2011,6030175
5/1/2011,6055925
5/3/2011,6081875
5/6/2011,6107775
5/8/2011,6133725
5/11/2011,6159725
5/13/2011,6185625
5/16/2011,6211425
5/18/2011,6237225
5/20/2011,6263075
5/22/2011,6288975
5/24/2011,6314925
5/26/2011,6340725
5/28/2011,6366475
5/31/2011,6392475
6/3/2011,6418275
6/6/2011,6444075
6/8/2011,6469875
6/11/2011,6495675
6/13/2011,6521475
6/15/2011,6547275
6/17/2011,6573075
6/20/2011,6598825
6/22/2011,6624775
6/24/2011,6650625
6/27/2011,6676375
6/30/2011,6702125
7/3/2011,6727975
7/6/2011,6753725
7/10/2011,6779475
7/13/2011,6805275
7/17/2011,6831125
7/20/2011,6856925
7/23/2011,6882675
7/26/2011,6908525
7/29/2011,6934425
8/2/2011,6960387.5
8/5/2011,6986575
8/9/2011,7012781.25
8/13/2011,7039425
8/17/2011,7065685.417
8/21/2011,7092431.25
8/24/2011,7119125
8/28/2011,7145175
9/1/2011,7171175
9/4/2011,7197375
9/8/2011,7223875
9/12/2011,7250241.667
9/16/2011,7277175
9/20/2011,7303475
9/23/2011,7329575
9/27/2011,7355975
10/1/2011,7381868.75
10/5/2011,7408475
10/9/2011,7435075
10/14/2011,7461325
10/18/2011,7487725
10/23/2011,7513775
10/27/2011,7539775
11/1/2011,7565725
11/4/2011,7591575
11/8/2011,7618752.083
11/12/2011,7646125
11/15/2011,7672575
11/19/2011,7698325
11/23/2011,7725425
11/28/2011,7751575
12/1/2011,7779425
12/5/2011,7808025
12/9/2011,7835625
12/12/2011,7862125
12/16/2011,7888425
12/20/2011,7915481.25
12/24/2011,7942775
12/27/2011,7971125
12/31/2011,7998356.25
1/4/2012,8025585.417
1/7/2012,8052725
1/10/2012,8080175
1/14/2012,8108735.417
1/18/2012,8136772.917
1/21/2012,8163047.917
1/25/2012,8191268.75
1/29/2012,8218106.25
2/1/2012,8245025
2/5/2012,8271875
2/9/2012,8298439.583
2/12/2012,8324916.667
2/16/2012,8351404.167
2/19/2012,8378175
2/23/2012,8404654.167
2/27/2012,8432056.25
3/1/2012,8459045.833
3/5/2012,8485485.417
3/9/2012,8512681.25
3/12/2012,8540410.417
3/16/2012,8567689.583
3/19/2012,8594933.333
3/23/2012,8622985.417
3/27/2012,8651125
3/30/2012,8678862.5
4/3/2012,8706439.583
4/7/2012,8733625
4/11/2012,8761302.083
4/15/2012,8788302.083
4/19/2012,8814975
4/23/2012,8843777.083
4/27/2012,8871622.917
4/30/2012,8899075
5/4/2012,8926175
5/7/2012,8953189.583
5/11/2012,8980675
5/14/2012,9007575
5/19/2012,9034125
5/23/2012,9060362.5
5/27/2012,9087025
5/30/2012,9113881.25
6/3/2012,9141325
6/7/2012,9168575
6/10/2012,9195891.667
6/14/2012,9223233.333
6/17/2012,9250981.25
6/21/2012,9279339.583
6/25/2012,9305779.167
6/28/2012,9332847.917
7/2/2012,9359514.583
7/6/2012,9386802.083
7/9/2012,9414179.167
7/13/2012,9441741.667
7/17/2012,9469887.5
7/20/2012,9497075
7/24/2012,9524325
7/27/2012,9553168.75
7/31/2012,9581708.333
8/4/2012,9610075
